     input_ids  token_type_ids  attention_mask          token
0          101               0               1          [CLS]
1         2054               0               1           what
2         2003               0               1             is
3         3698               0               1        machine
4         4083               0               1       learning
5         1029               0               1              ?
6          102               0               1          [SEP]
7         3698               1               1        machine
8         4083               1               1       learning
9         1006               1               1              (
10       19875               1               1             ml
11        1007               1               1              )
12        2003               1               1             is
13        1996               1               1            the
14        4045               1               1     scientific
15        2817               1               1          study
16        1997               1               1             of
17       13792               1               1     algorithms
18        1998               1               1            and
19        7778               1               1    statistical
20        4275               1               1         models
21        2008               1               1           that
22        3274               1               1       computer
23        3001               1               1        systems
24        2224               1               1            use
25        2000               1               1             to
26       20519               1               1  progressively
27        5335               1               1        improve
28        2037               1               1          their
29        2836               1               1    performance
30        2006               1               1             on
31        1037               1               1              a
32        3563               1               1       specific
33        4708               1               1           task
34        1012               1               1              .
35        3698               1               1        machine
36        4083               1               1       learning
37       13792               1               1     algorithms
38        3857               1               1          build
39        1037               1               1              a
40        8045               1               1   mathematical
41        2944               1               1          model
42        1997               1               1             of
43        7099               1               1         sample
44        2951               1               1           data
45        1010               1               1              ,
46        2124               1               1          known
47        2004               1               1             as
48        1000               1               1              "
49        2731               1               1       training
50        2951               1               1           data
51        1000               1               1              "
52        1010               1               1              ,
53        1999               1               1             in
54        2344               1               1          order
55        2000               1               1             to
56        2191               1               1           make
57       20932               1               1    predictions
58        2030               1               1             or
59        6567               1               1      decisions
60        2302               1               1        without
61        2108               1               1          being
62       12045               1               1     explicitly
63       16984               1               1     programmed
64        2000               1               1             to
65        4685               1               1        perform
66        1996               1               1            the
67        4708               1               1           task
68        1012               1               1              .
69        3698               1               1        machine
70        4083               1               1       learning
71       13792               1               1     algorithms
72        2024               1               1            are
73        2109               1               1           used
74        1999               1               1             in
75        1996               1               1            the
76        5097               1               1   applications
77        1997               1               1             of
78       10373               1               1          email
79       22910               1               1      filtering
80        1010               1               1              ,
81       10788               1               1      detection
82        1997               1               1             of
83        2897               1               1        network
84       22841               1               1       intruder
85        2015               1               1            ##s
86        1010               1               1              ,
87        1998               1               1            and
88        3274               1               1       computer
89        4432               1               1         vision
90        1010               1               1              ,
91        2073               1               1          where
92        2009               1               1             it
93        2003               1               1             is
94        1999               1               1             in
95        7959               1               1           ##fe
96       21369               1               1          ##asi
97        3468               1               1          ##ble
98        2000               1               1             to
99        4503               1               1        develop
100       2019               1               1             an
101       9896               1               1      algorithm
102       1997               1               1             of
103       3563               1               1       specific
104       8128               1               1   instructions
105       2005               1               1            for
106       4488               1               1     performing
107       1996               1               1            the
108       4708               1               1           task
109       1012               1               1              .
110       3698               1               1        machine
111       4083               1               1       learning
112       2003               1               1             is
113       4876               1               1        closely
114       3141               1               1        related
115       2000               1               1             to
116      15078               1               1  computational
117       6747               1               1     statistics
118       1010               1               1              ,
119       2029               1               1          which
120       7679               1               1        focuses
121       2006               1               1             on
122       2437               1               1         making
123      20932               1               1    predictions
124       2478               1               1          using
125       7588               1               1      computers
126       1012               1               1              .
127       1996               1               1            the
128       2817               1               1          study
129       1997               1               1             of
130       8045               1               1   mathematical
131      20600               1               1   optimization
132      18058               1               1       delivers
133       4725               1               1        methods
134       1010               1               1              ,
135       3399               1               1         theory
136       1998               1               1            and
137       4646               1               1    application
138      13100               1               1        domains
139       2000               1               1             to
140       1996               1               1            the
141       2492               1               1          field
142       1997               1               1             of
143       3698               1               1        machine
144       4083               1               1       learning
145       1012               1               1              .
146       2951               1               1           data
147       5471               1               1         mining
148       2003               1               1             is
149       1037               1               1              a
150       2492               1               1          field
151       1997               1               1             of
152       2817               1               1          study
153       2306               1               1         within
154       3698               1               1        machine
155       4083               1               1       learning
156       1010               1               1              ,
157       1998               1               1            and
158       7679               1               1        focuses
159       2006               1               1             on
160       4654               1               1             ex
161      24759               1               1           ##pl
162       6525               1               1          ##ora
163       7062               1               1         ##tory
164       2951               1               1           data
165       4106               1               1       analysis
166       2083               1               1        through
167       4895               1               1             un
168       6342               1               1           ##su
169       4842               1               1          ##per
170      11365               1               1          ##vis
171       2098               1               1           ##ed
172       4083               1               1       learning
173       1012               1               1              .
174       1999               1               1             in
175       2049               1               1            its
176       4646               1               1    application
177       2408               1               1         across
178       2449               1               1       business
179       3471               1               1       problems
180       1010               1               1              ,
181       3698               1               1        machine
182       4083               1               1       learning
183       2003               1               1             is
184       2036               1               1           also
185       3615               1               1       referred
186       2000               1               1             to
187       2004               1               1             as
188      16014               1               1        predict
189       3512               1               1          ##ive
190      25095               1               1      analytics
191       1012               1               1              .
192        102               1               1          [SEP]
